siteid,latitude_x,longitude_x,target_siteid,tos_field_ph,shire,stationCode,stationName,latitude_y,longitude_y,dateTime,rainfall.yearToDate,rainfall.period,production Level,state,Straw Yield /Ha Cereal Crop Average over 5 years,total residues,residue type,residue description,period,residue unit
2007190475,-27.63,114.249,TS0518,7.0,northampton,MEAN,Meanarra Tower,-27.698975,114.222944,2021-11-19,0.0,641.0,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190475,-27.63,114.249,TS0518,7.0,northampton,NW001,Northampton West,-28.300442,114.508197,2022-02-22,0.0,403.6,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190475,-27.63,114.249,TS0518,7.0,northampton,YU003,Yuna North,-28.120861,114.962611,2022-02-22,2.4,415.6,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190693,-27.395,114.137,TS0634,7.0,northampton,BI,Binnu,-28.051,114.69575,2022-02-22,0.6,431.2,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190693,-27.395,114.137,TS0634,7.0,northampton,BI002,Binnu West,-28.014442,114.406062,2022-02-22,0.0,500.2,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190693,-27.395,114.137,TS0634,7.0,northampton,AWS,DBCA mobile/trailer AWS,-27.68678,114.26157,2018-11-02,0.0,,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190693,-27.395,114.137,TS0634,7.0,northampton,MEAN,Meanarra Tower,-27.698975,114.222944,2021-11-19,0.0,641.0,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190693,-27.395,114.137,TS0634,7.0,northampton,NW001,Northampton West,-28.300442,114.508197,2022-02-22,0.0,403.6,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190693,-27.395,114.137,TS0634,7.0,northampton,YU003,Yuna North,-28.120861,114.962611,2022-02-22,2.4,415.6,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190984,-27.532,115.218,TS0515,7.5,northampton,BI,Binnu,-28.051,114.69575,2022-02-22,0.6,431.2,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190984,-27.532,115.218,TS0515,7.5,northampton,BI002,Binnu West,-28.014442,114.406062,2022-02-22,0.0,500.2,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190984,-27.532,115.218,TS0515,7.5,northampton,AWS,DBCA mobile/trailer AWS,-27.68678,114.26157,2018-11-02,0.0,,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190984,-27.532,115.218,TS0515,7.5,northampton,MEAN,Meanarra Tower,-27.698975,114.222944,2021-11-19,0.0,641.0,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190984,-27.532,115.218,TS0515,7.5,northampton,NW001,Northampton West,-28.300442,114.508197,2022-02-22,0.0,403.6,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190984,-27.532,115.218,TS0515,7.5,northampton,YU003,Yuna North,-28.120861,114.962611,2022-02-22,2.4,415.6,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007191316,-28.212,114.32,TS0425,5.0,northampton,BI,Binnu,-28.051,114.69575,2022-02-22,0.6,431.2,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007191316,-28.212,114.32,TS0425,5.0,northampton,BI002,Binnu West,-28.014442,114.406062,2022-02-22,0.0,500.2,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007191316,-28.212,114.32,TS0425,5.0,northampton,AWS,DBCA mobile/trailer AWS,-27.68678,114.26157,2018-11-02,0.0,,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007191316,-28.212,114.32,TS0425,5.0,northampton,MEAN,Meanarra Tower,-27.698975,114.222944,2021-11-19,0.0,641.0,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007191316,-28.212,114.32,TS0425,5.0,northampton,NW001,Northampton West,-28.300442,114.508197,2022-02-22,0.0,403.6,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007191316,-28.212,114.32,TS0425,5.0,northampton,YU003,Yuna North,-28.120861,114.962611,2022-02-22,2.4,415.6,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190071,-32.052,118.166,TS0586,6.0,bruce rock,SH002,Babakin,-32.12548,118.00406,2022-02-22,1.0,423.4,1 - 1.5,Western Australia,1.04,124427,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190071,-32.052,118.166,TS0586,6.0,bruce rock,ME004,Belka East,-31.7285278,118.2979722,2022-02-22,21.0,347.4,1 - 1.5,Western Australia,1.04,124427,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190071,-32.052,118.166,TS0586,6.0,bruce rock,SH001,Shackleton,-31.9456,117.8383,2022-02-22,28.8,502.8,1 - 1.5,Western Australia,1.04,124427,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190289,-32.051,118.166,TS0586,6.0,bruce rock,SH002,Babakin,-32.12548,118.00406,2022-02-22,1.0,423.4,1 - 1.5,Western Australia,1.04,124427,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190289,-32.051,118.166,TS0586,6.0,bruce rock,ME004,Belka East,-31.7285278,118.2979722,2022-02-22,21.0,347.4,1 - 1.5,Western Australia,1.04,124427,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190289,-32.051,118.166,TS0586,6.0,bruce rock,SH001,Shackleton,-31.9456,117.8383,2022-02-22,28.8,502.8,1 - 1.5,Western Australia,1.04,124427,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190073,-32.573,118.451,TS0598,6.5,kulin,KI001,Kulin,-32.790382,118.301848,2022-02-22,3.4,501.8,0.5 - 1,Western Australia,0.97,142893,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190073,-32.573,118.451,TS0598,6.5,kulin,PN001,Pingaring,-32.7340833,118.627139,2022-02-22,1.2,446.6,0.5 - 1,Western Australia,0.97,142893,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190311,-30.539,115.226,TS0542,7.0,dandaragan,BA,Badgingarra,-30.338049,115.539491,2022-02-22,0.4,693.6,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190311,-30.539,115.226,TS0542,7.0,dandaragan,BCAB,DBCA-B Portable,-30.2762,115.0926,2022-02-22,0.0,448.7,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190311,-30.539,115.226,TS0542,7.0,dandaragan,DG001,Dandaragan East,-30.826939,115.763161,2022-02-22,6.6,657.8,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190311,-30.539,115.226,TS0542,7.0,dandaragan,JB001,Jurien Bay,-30.29605,115.2213,2022-02-22,8.6,679.0,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190311,-30.539,115.226,TS0542,7.0,dandaragan,LE,Lancelin East,-30.884833,115.407943,2022-02-22,0.4,877.4,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190311,-30.539,115.226,TS0542,7.0,dandaragan,MZ002,Moora NW,-30.612997,115.897434,2022-02-22,5.6,573.8,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190959,-30.3,115.197,TS0541,5.0,dandaragan,BA,Badgingarra,-30.338049,115.539491,2022-02-22,0.4,693.6,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190959,-30.3,115.197,TS0541,5.0,dandaragan,BCAB,DBCA-B Portable,-30.2762,115.0926,2022-02-22,0.0,448.7,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190959,-30.3,115.197,TS0541,5.0,dandaragan,DG001,Dandaragan East,-30.826939,115.763161,2022-02-22,6.6,657.8,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190959,-30.3,115.197,TS0541,5.0,dandaragan,JB001,Jurien Bay,-30.29605,115.2213,2022-02-22,8.6,679.0,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190959,-30.3,115.197,TS0541,5.0,dandaragan,LE,Lancelin East,-30.884833,115.407943,2022-02-22,0.4,877.4,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190959,-30.3,115.197,TS0541,5.0,dandaragan,MZ002,Moora NW,-30.612997,115.897434,2022-02-22,5.6,573.8,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007191230,-30.877,115.651,TS0544,6.0,dandaragan,BA,Badgingarra,-30.338049,115.539491,2022-02-22,0.4,693.6,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007191230,-30.877,115.651,TS0544,6.0,dandaragan,BCAB,DBCA-B Portable,-30.2762,115.0926,2022-02-22,0.0,448.7,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007191230,-30.877,115.651,TS0544,6.0,dandaragan,DG001,Dandaragan East,-30.826939,115.763161,2022-02-22,6.6,657.8,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007191230,-30.877,115.651,TS0544,6.0,dandaragan,JB001,Jurien Bay,-30.29605,115.2213,2022-02-22,8.6,679.0,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007191230,-30.877,115.651,TS0544,6.0,dandaragan,LE,Lancelin East,-30.884833,115.407943,2022-02-22,0.4,877.4,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007191230,-30.877,115.651,TS0544,6.0,dandaragan,MZ002,Moora NW,-30.612997,115.897434,2022-02-22,5.6,573.8,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007191259,-30.539,115.227,TS0542,6.0,dandaragan,BA,Badgingarra,-30.338049,115.539491,2022-02-22,0.4,693.6,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007191259,-30.539,115.227,TS0542,6.0,dandaragan,BCAB,DBCA-B Portable,-30.2762,115.0926,2022-02-22,0.0,448.7,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007191259,-30.539,115.227,TS0542,6.0,dandaragan,DG001,Dandaragan East,-30.826939,115.763161,2022-02-22,6.6,657.8,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007191259,-30.539,115.227,TS0542,6.0,dandaragan,JB001,Jurien Bay,-30.29605,115.2213,2022-02-22,8.6,679.0,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007191259,-30.539,115.227,TS0542,6.0,dandaragan,LE,Lancelin East,-30.884833,115.407943,2022-02-22,0.4,877.4,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007191259,-30.539,115.227,TS0542,6.0,dandaragan,MZ002,Moora NW,-30.612997,115.897434,2022-02-22,5.6,573.8,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007191353,-30.698,115.585,TS0546,6.0,dandaragan,BA,Badgingarra,-30.338049,115.539491,2022-02-22,0.4,693.6,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007191353,-30.698,115.585,TS0546,6.0,dandaragan,BCAB,DBCA-B Portable,-30.2762,115.0926,2022-02-22,0.0,448.7,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007191353,-30.698,115.585,TS0546,6.0,dandaragan,DG001,Dandaragan East,-30.826939,115.763161,2022-02-22,6.6,657.8,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007191353,-30.698,115.585,TS0546,6.0,dandaragan,JB001,Jurien Bay,-30.29605,115.2213,2022-02-22,8.6,679.0,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007191353,-30.698,115.585,TS0546,6.0,dandaragan,LE,Lancelin East,-30.884833,115.407943,2022-02-22,0.4,877.4,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007191353,-30.698,115.585,TS0546,6.0,dandaragan,MZ002,Moora NW,-30.612997,115.897434,2022-02-22,5.6,573.8,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190418,-31.14,118.478,TS0558,6.0,merredin,SB001,Burracoppin South,-31.58752,118.6972,2022-02-22,29.8,348.6,0.5 - 1,Western Australia,0.77,86993,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190418,-31.14,118.478,TS0558,6.0,merredin,ME,Merredin,-31.493128,118.226202,2022-02-22,28.2,360.6,0.5 - 1,Western Australia,0.77,86993,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190418,-31.14,118.478,TS0558,6.0,merredin,ME002,Merredin NG In,-31.485436,118.220944,2022-02-22,23.2,234.6,0.5 - 1,Western Australia,0.77,86993,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
